Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-ER-A19H-06	3.71E+00	3.52E+00	1.10E+00	3.00E+00
TCGA-ER-A19J-06	2.55E+00	2.85E+00	6.51E-01	1.78E+00
TCGA-ER-A19K-01	5.22E+00	5.16E+00	9.59E-01	3.42E+00
TCGA-ER-A19L-06	1.18E+00	1.36E+00	4.40E-01	5.81E-01
TCGA-ER-A19M-06	6.27E+00	5.24E+00	7.52E-01	4.88E+00
TCGA-ER-A19N-06	5.74E+00	4.82E+00	8.78E-01	4.24E+00
TCGA-ER-A19O-06	2.53E+00	2.19E+00	8.70E-01	1.73E+00
TCGA-ER-A19P-06	4.77E+00	4.34E+00	2.07E+00	3.22E+00
TCGA-ER-A19Q-06	1.88E+00	1.63E+00	5.48E-01	1.15E+00
TCGA-ER-A19S-06	2.66E+00	2.60E+00	8.71E-01	1.75E+00
TCGA-ER-A19T-01	4.73E-01	6.86E-01	6.66E-01	4.37E-01
TCGA-ER-A19W-06	4.36E+00	4.00E+00	1.10E+00	2.57E+00
TCGA-ER-A1A1-06	1.67E+00	1.69E+00	2.49E-01	7.86E-01
TCGA-ER-A2NB-01	3.85E-01	6.41E-01	6.65E-01	5.37E-01
TCGA-ER-A2NC-06	5.29E+00	4.86E+00	7.77E-01	3.14E+00
TCGA-ER-A2ND-06	1.57E+00	1.91E+00	1.14E+00	1.41E+00
TCGA-ER-A2NE-06	1.89E+00	1.95E+00	7.48E-01	1.22E+00
TCGA-ER-A2NF-01	8.54E-01	9.04E-01	4.08E-01	3.32E-01
TCGA-ER-A2NG-06	3.07E+00	3.03E+00	1.15E+00	1.65E+00
TCGA-ER-A2NH-06	2.87E+00	3.04E+00	7.53E-01	2.62E+00
TCGA-ER-A3ES-06	2.39E-01	8.11E-02	7.40E-01	7.17E-01
TCGA-ER-A3ET-06	8.21E-01	1.01E+00	8.42E-01	7.07E-01
