Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-C8-A12L-01	2	5	15	40	22	5
TCGA-C8-A12M-01	3	2	32	18	16	11
TCGA-C8-A12N-01	0	4	12	6	0	5
TCGA-C8-A12O-01	4	1	30	2	12	0
TCGA-C8-A12P-01	66	65	28	23	7	13
TCGA-C8-A12Q-01	52	42	10	0	26	9
TCGA-C8-A12T-01	83	106	14	3	3	5
TCGA-C8-A12U-01	4	7	26	20	3	1
TCGA-C8-A12V-01	2	4	3	12	18	13
TCGA-C8-A12W-01	2	5	50	13	4	3
TCGA-C8-A12X-01	1	2	31	4	20	7
TCGA-C8-A12Y-01	2	2	21	0	0	21
TCGA-C8-A12Z-01	13	13	18	10	2	5
TCGA-C8-A130-01	4	5	34	0	4	7
TCGA-C8-A131-01	13	0	16	14	21	10
TCGA-C8-A132-01	9	27	13	12	19	4
TCGA-C8-A133-01	6	0	0	0	23	4
TCGA-C8-A134-01	0	7	8	68	21	13
TCGA-C8-A135-01	3	7	39	4	10	14
TCGA-C8-A137-01	15	16	14	0	17	0
TCGA-C8-A138-01	0	0	16	0	34	2
TCGA-C8-A1HE-01	25	11	9	6	0	3
TCGA-C8-A1HF-01	10	7	8	6	3	5
TCGA-C8-A1HG-01	7	4	31	17	0	10
TCGA-C8-A1HI-01	8	10	22	0	25	7
TCGA-C8-A1HJ-01	0	13	10	78	0	23
TCGA-C8-A1HK-01	6	27	14	8	11	7
TCGA-C8-A1HL-01	0	0	10	4	16	7
TCGA-C8-A1HM-01	123	244	25	16	35	5
TCGA-C8-A1HN-01	4	2	24	10	24	6
TCGA-C8-A1HO-01	10	5	9	4	17	4
TCGA-C8-A26V-01	23	37	16	8	3	9
TCGA-C8-A26W-01	22	15	11	3	12	6
TCGA-C8-A26X-01	5	3	27	26	11	3
TCGA-C8-A26Y-01	384	406	0	0	102	24
TCGA-C8-A26Z-01	3	0	25	21	0	0
TCGA-C8-A273-01	0	1	10	4	8	1
TCGA-C8-A274-01	140	103	10	3	0	25
TCGA-C8-A275-01	43	66	15	1	15	2
TCGA-C8-A278-01	9	8	16	7	11	2
TCGA-C8-A27A-01	8	4	10	8	10	0
TCGA-C8-A27B-01	5	73	8	64	0	12
TCGA-C8-A3M7-01	129	46	31	4	6	5
TCGA-C8-A3M8-01	4	10	15	11	9	13
TCGA-C8-A8HP-01	126	123	22	0	0	2
TCGA-C8-A8HQ-01	183	156	33	0	0	0
TCGA-C8-A8HR-01	3	3	17	24	1	12
TCGA-C8-A9FZ-01	1	4	14	5	0	5
TCGA-D8-A13Y-01	15	11	12	9	22	13
TCGA-D8-A13Z-01	2	16	30	55	0	0
TCGA-D8-A140-01	31	4	29	0	50	20
TCGA-D8-A141-01	0	0	9	3	9	0
TCGA-D8-A142-01	0	16	56	39	50	5
TCGA-D8-A143-01	2	2	19	35	0	3
TCGA-D8-A145-01	0	4	20	12	1	10
TCGA-D8-A146-01	8	0	14	0	8	11
TCGA-D8-A147-01	18	49	7	91	19	16
TCGA-D8-A1J8-01	314	306	113	13	28	187
TCGA-D8-A1J9-01	131	123	8	0	16	0
TCGA-D8-A1JB-01	5	4	6	20	21	7
TCGA-D8-A1JC-01	42	38	19	9	13	1
TCGA-D8-A1JD-01	11	16	9	52	17	17
TCGA-D8-A1JE-01	1	2	11	2	16	8
TCGA-D8-A1JF-01	4	3	16	12	0	14
TCGA-D8-A1JG-01	11	10	40	0	108	0
TCGA-D8-A1JH-01	2	0	5	0	11	6
TCGA-D8-A1JI-01	3	0	5	0	26	8
TCGA-D8-A1JJ-01	39	21	20	7	0	11
TCGA-D8-A1JK-01	22	11	2	30	136	48
TCGA-D8-A1JL-01	3	11	6	38	46	23
TCGA-D8-A1JM-01	2	2	16	2	31	0
TCGA-D8-A1JN-01	112	57	23	0	16	0
TCGA-D8-A1JP-01	3	12	0	53	50	17
TCGA-D8-A1JS-01	3	0	8	1	13	4
TCGA-D8-A1JT-01	0	0	16	5	18	2
TCGA-D8-A1JU-01	2	0	7	5	0	6
TCGA-D8-A1X5-01	3	6	17	0	30	10
TCGA-D8-A1X6-01	3	0	21	14	0	4
TCGA-D8-A1X7-01	3	1	8	0	20	0
TCGA-D8-A1X9-01	0	9	0	12	61	20
TCGA-D8-A1XA-01	2	0	9	1	11	5
TCGA-D8-A1XB-01	9	2	22	2	5	10
TCGA-D8-A1XC-01	3	0	14	9	3	5
TCGA-D8-A1XF-01	4	3	27	7	8	2
TCGA-D8-A1XG-01	2	0	1	3	8	13
TCGA-D8-A1XK-01	3	12	0	2	115	1168
TCGA-D8-A1XL-01	5	6	9	46	24	20
TCGA-D8-A1XM-01	22	6	17	0	19	0
TCGA-D8-A1XO-01	7	6	7	4	3	2
TCGA-D8-A1XQ-01	23	32	202	159	70	545
TCGA-D8-A1XR-01	4	0	10	2	0	16
TCGA-D8-A1XS-01	7	1	10	0	8	0
TCGA-D8-A1XT-01	5	3	17	14	4	2
TCGA-D8-A1XU-01	13	3	6	10	0	3
TCGA-D8-A1XV-01	0	4	18	1	12	1
TCGA-D8-A1XW-01	9	11	14	62	10	16
TCGA-D8-A1XY-01	9	1	31	7	6	5
TCGA-D8-A1XZ-01	0	12	53	16	11	4
TCGA-D8-A1Y0-01	4	12	8	18	29	10
TCGA-D8-A1Y1-01	18	4	177	0	0	34
TCGA-D8-A1Y2-01	8	4	9	0	0	1
TCGA-D8-A1Y3-01	2	1	42	19	0	3
TCGA-D8-A27E-01	1	0	2	8	0	0
TCGA-D8-A27F-01	0	12	2	20	28	8
TCGA-D8-A27G-01	616	560	0	0	0	0
TCGA-D8-A27H-01	10	50	9	79	0	12
TCGA-D8-A27I-01	6	5	11	8	2	4
TCGA-D8-A27K-01	0	2	9	2	6	2
TCGA-D8-A27L-01	21	7	13	0	12	0
TCGA-D8-A27M-01	3	13	12	47	11	4
TCGA-D8-A27N-01	4	2	28	7	13	6
