Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-BH-A1FL-01	0	2	9	5	0	0	3	4	3
TCGA-BH-A1FM-01	6	10	15	7	4	20	0	0	0
TCGA-BH-A1FN-01	41	35	4	0	25	0	12	5	24
TCGA-BH-A1FR-01	1	0	5	3	6	0	0	2	0
TCGA-BH-A1FU-01	14	4	7	14	20	17	11	23	8
TCGA-BH-A201-01	0	2	2	5	0	0	0	9	9
TCGA-BH-A202-01	0	3	7	0	3	0	0	3	12
TCGA-BH-A203-01	10	14	31	3	3	28	4	6	0
TCGA-BH-A204-01	5	1	11	8	7	0	7	4	9
TCGA-BH-A208-01	21	16	12	10	9	9	3	2	0
TCGA-BH-A209-01	50	29	0	19	0	21	0	0	0
TCGA-BH-A28Q-01	2	2	11	0	2	0	9	0	0
TCGA-BH-A2L8-01	266	280	3	69	0	10	0	0	0
TCGA-BH-A42U-01	3	11	1	7	0	10	0	0	0
TCGA-BH-A42V-01	16	23	6	6	0	4	0	0	0
TCGA-BH-A5IZ-01	5	5	12	9	18	6	11	6	24
TCGA-BH-A5J0-01	12	35	13	25	0	10	0	7	0
TCGA-BH-A6R8-01	1	2	11	8	0	11	1	3	0
TCGA-BH-A6R9-01	0	0	5	4	11	0	0	1	4
TCGA-BH-A8FY-01	5	1	3	11	13	0	22	1	0
TCGA-BH-A8FZ-01	6	9	12	0	31	0	8	15	10
TCGA-BH-A8G0-01	0	0	7	5	0	0	0	5	0
TCGA-BH-AB28-01	0	6	13	0	0	0	20	4	0
TCGA-C8-A12K-01	48	12	6	12	60	0	20	11	4
TCGA-C8-A12L-01	4	3	5	0	29	12	36	0	0
TCGA-C8-A12M-01	0	0	17	9	7	26	18	5	0
TCGA-C8-A12N-01	3	1	11	0	3	0	0	4	5
TCGA-C8-A12O-01	0	2	20	7	2	18	0	0	0
TCGA-C8-A12P-01	55	49	24	33	7	1	0	13	20
TCGA-C8-A12Q-01	32	35	4	24	0	25	0	9	10
TCGA-C8-A12T-01	86	68	8	17	0	19	14	0	2
