Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-A2-A1FX-01	7	7	11	0	3
TCGA-A2-A1FZ-01	0	7	18	3	1
TCGA-A2-A1G0-01	8	7	4	2	2
TCGA-A2-A1G1-01	6	17	11	4	1
TCGA-A2-A1G6-01	0	2	6	2	0
TCGA-A2-A259-01	11	3	9	4	2
TCGA-A2-A25A-01	14	27	12	76	0
TCGA-A2-A25B-01	19	61	29	10	9
TCGA-A2-A25C-01	7	24	5	2	1
TCGA-A2-A25D-01	9	22	17	9	7
TCGA-A2-A25E-01	2	21	17	12	9
TCGA-A2-A25F-01	0	6	0	0	0
TCGA-A2-A3KD-01	5	0	12	1	0
TCGA-A2-A3XT-01	0	55	16	43	8
TCGA-A2-A3XU-01	1	8	20	2	0
TCGA-A2-A3XV-01	9	11	22	0	6
TCGA-A2-A3XW-01	4	0	8	1	4
TCGA-A2-A3XX-01	5	11	25	5	6
TCGA-A2-A3XZ-01	6	0	17	26	3
TCGA-A2-A3Y0-01	0	95	56	75	17
TCGA-A2-A4S1-01	0	44	34	11	9
TCGA-A2-A4S2-01	5	12	18	8	0
TCGA-A2-A4S3-01	5	35	37	22	8
TCGA-A7-A0CE-01	12	24	16	7	2
