Samples	SBS1	SBS2	SBS5	SBS10a	SBS10b	SBS13	SBS15	SBS17a	SBS17b	SBS21	SBS40a	SBS54	SBS87
TCGA-HU-A4H0-01	69	0	147	0	0	0	0	0	0	0	0	0	0
TCGA-HU-A4H2-01	75	0	61	0	0	0	0	11	17	0	64	0	0
TCGA-HU-A4H3-01	161	0	240	0	0	0	358	0	0	0	0	0	224
TCGA-HU-A4H4-01	128	0	209	0	0	0	184	0	0	149	0	97	0
TCGA-HU-A4H5-01	23	0	82	0	0	0	0	0	0	0	173	0	50
TCGA-HU-A4H6-01	73	0	75	0	0	0	0	0	0	0	0	0	0
TCGA-HU-A4H8-01	543	0	244	0	0	0	501	0	0	0	0	0	0
TCGA-HU-A4HB-01	0	0	5	0	0	0	0	0	0	0	0	0	8
TCGA-HU-A4HD-01	54	0	42	0	0	0	0	0	0	0	130	0	0
TCGA-IN-7806-01	34	9	46	0	0	0	0	0	0	0	0	0	0
TCGA-IN-7808-01	45	0	61	0	0	0	25	0	0	0	0	0	0
TCGA-IN-8462-01	12	0	43	0	0	0	39	0	0	0	0	0	49
TCGA-IN-8663-01	52	0	50	0	0	0	0	20	42	0	64	0	0
TCGA-IN-A6RI-01	13	0	39	0	0	0	16	14	24	0	0	0	24
TCGA-IN-A6RJ-01	38	0	77	0	0	0	0	22	30	0	0	0	0
TCGA-IN-A6RL-01	35	0	0	66	0	0	41	20	36	0	302	64	0
TCGA-IN-A6RN-01	30	0	125	0	0	0	0	0	0	0	0	0	0
TCGA-IN-A6RO-01	79	0	81	0	0	0	0	0	0	0	202	0	0
TCGA-IN-A6RP-01	67	20	62	0	0	15	38	0	0	0	0	0	0
TCGA-IN-A6RR-01	50	0	35	0	0	0	0	13	19	0	80	0	0
TCGA-IN-A6RS-01	40	0	10	0	0	0	30	0	0	0	52	0	0
TCGA-IN-A7NR-01	28	0	50	0	0	0	0	7	28	0	0	0	0
TCGA-IN-A7NT-01	23	8	31	0	0	9	31	18	16	0	0	0	0
TCGA-IN-A7NU-01	36	0	20	0	0	0	0	9	13	0	39	0	0
TCGA-IN-AB1V-01	23	0	52	0	0	0	0	0	0	0	0	0	0
TCGA-IN-AB1X-01	35	0	20	0	0	0	0	7	14	0	65	0	0
TCGA-IP-7968-01	37	0	26	0	0	0	25	0	0	0	0	0	45
TCGA-KB-A6F5-01	12	0	30	0	0	0	16	0	0	0	0	0	25
TCGA-KB-A6F7-01	12	0	0	0	0	0	20	0	0	0	70	0	22
TCGA-KB-A93G-01	8	0	0	0	0	0	19	0	0	0	62	0	38
TCGA-KB-A93H-01	25	0	88	0	0	0	64	14	25	0	0	0	68
