Samples	SBS96A
TCGA-AN-A0XT-01	0.00E+00
TCGA-AN-A0XU-01	0.00E+00
TCGA-AN-A0XV-01	0.00E+00
TCGA-AN-A0XW-01	0.00E+00
TCGA-AO-A03M-01	0.00E+00
TCGA-AO-A03N-01	0.00E+00
TCGA-AO-A03U-01	0.00E+00
TCGA-AO-A03V-01	0.00E+00
TCGA-AO-A0JG-01	0.00E+00
TCGA-AO-A124-01	0.00E+00
TCGA-AO-A125-01	0.00E+00
TCGA-AO-A126-01	0.00E+00
TCGA-AO-A128-01	0.00E+00
TCGA-AO-A129-01	0.00E+00
TCGA-AO-A12A-01	0.00E+00
TCGA-AO-A12B-01	0.00E+00
