Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-E2-A15J-01	0	8	7	7
TCGA-E2-A15K-01	0	27	17	9
TCGA-E2-A15L-01	1	18	5	10
TCGA-E2-A15M-01	29	34	27	18
TCGA-E2-A15O-01	0	20	10	4
TCGA-E2-A15P-01	0	14	5	9
TCGA-E2-A15R-01	1	40	6	0
TCGA-E2-A15S-01	12	6	30	20
TCGA-E2-A15T-01	0	24	8	8
TCGA-E2-A1AZ-01	28	15	26	10
TCGA-E2-A1B0-01	8	28	8	16
TCGA-E2-A1B1-01	35	24	7	0
TCGA-E2-A1B4-01	7	18	14	3
TCGA-E2-A1B5-01	21	23	0	2
TCGA-E2-A1B6-01	1	9	32	14
TCGA-E2-A1BC-01	1	8	19	13
TCGA-E2-A1BD-01	0	27	10	6
TCGA-E2-A1IE-01	0	11	13	6
TCGA-E2-A1IF-01	0	5	9	10
TCGA-E2-A1IG-01	6	37	14	0
TCGA-E2-A1IH-01	37	10	18	20
TCGA-E2-A1II-01	0	8	16	10
TCGA-E2-A1IJ-01	0	9	4	5
TCGA-E2-A1IK-01	1	10	4	2
TCGA-E2-A1IL-01	0	15	12	4
TCGA-E2-A1IN-01	191	10	20	27
TCGA-E2-A1IO-01	0	15	0	1
TCGA-E2-A1IU-01	6	17	8	0
TCGA-E2-A1L6-01	1	16	8	3
TCGA-E2-A1L7-01	4	11	53	13
TCGA-E2-A1L8-01	6	10	12	10
TCGA-E2-A1L9-01	2	12	8	6
TCGA-E2-A1LA-01	10	4	64	29
TCGA-E2-A1LB-01	27	13	10	5
TCGA-E2-A1LG-01	176	7	23	13
TCGA-E2-A1LH-01	61	0	135	35
TCGA-E2-A1LI-01	12	3	19	3
TCGA-E2-A1LK-01	0	39	0	15
TCGA-E2-A1LL-01	4	9	31	17
TCGA-E2-A2P6-01	118	68	0	0
TCGA-E2-A56Z-01	0	24	16	20
TCGA-E2-A570-01	0	17	11	2
TCGA-E2-A572-01	2	11	5	11
TCGA-E2-A573-01	5	13	31	23
TCGA-E2-A574-01	63	63	30	0
TCGA-E2-A576-01	0	39	20	11
TCGA-E2-A9RU-01	14	67	9	17
TCGA-E9-A1N3-01	3	1	16	11
TCGA-E9-A1N4-01	11	15	5	3
TCGA-E9-A1N5-01	16	0	7	16
