Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-BH-A204-01	2	4	11	7	10	5	13
TCGA-BH-A208-01	19	22	14	8	5	0	14
TCGA-BH-A209-01	35	56	4	0	24	0	0
TCGA-BH-A28Q-01	2	2	13	6	0	3	0
TCGA-BH-A2L8-01	331	290	7	0	0	0	0
TCGA-BH-A42U-01	13	3	1	0	1	0	14
TCGA-BH-A42V-01	27	17	7	0	0	0	4
TCGA-BH-A5IZ-01	5	6	14	27	32	8	4
TCGA-BH-A5J0-01	44	12	17	0	20	7	2
TCGA-BH-A6R8-01	4	2	12	0	4	2	13
TCGA-BH-A6R9-01	0	0	6	10	9	0	0
TCGA-BH-A8FY-01	2	4	5	17	22	6	0
TCGA-BH-A8FZ-01	9	6	13	42	0	20	1
TCGA-BH-A8G0-01	1	0	7	0	5	4	0
TCGA-BH-AB28-01	7	0	17	7	1	11	0
TCGA-C8-A12K-01	14	52	9	66	5	16	11
TCGA-C8-A12L-01	3	5	9	36	0	2	34
TCGA-C8-A12M-01	0	1	27	10	22	10	12
TCGA-C8-A12N-01	1	4	11	6	0	5	0
TCGA-C8-A12O-01	3	1	24	0	7	0	14
TCGA-C8-A12P-01	59	60	26	11	32	13	1
TCGA-C8-A12Q-01	42	35	8	0	45	9	0
TCGA-C8-A12T-01	79	94	11	0	0	1	29
TCGA-C8-A12U-01	5	6	26	18	0	0	6
TCGA-C8-A12V-01	2	4	0	9	0	10	27
TCGA-C8-A12W-01	2	5	41	0	0	1	28
TCGA-C8-A12X-01	0	1	29	5	23	7	0
TCGA-C8-A12Y-01	2	1	22	0	2	19	0
TCGA-C8-A12Z-01	10	11	16	0	20	4	0
TCGA-C8-A130-01	4	5	26	0	0	6	13
TCGA-C8-A131-01	9	0	13	12	23	9	8
TCGA-C8-A132-01	10	25	6	6	0	2	35
TCGA-C8-A133-01	5	0	0	4	9	4	11
TCGA-C8-A134-01	0	9	6	66	1	11	24
TCGA-C8-A135-01	4	7	33	2	0	12	19
TCGA-C8-A137-01	11	13	9	0	16	0	13
TCGA-C8-A138-01	0	0	14	3	26	4	5
TCGA-C8-A1HE-01	24	9	8	7	0	2	4
TCGA-C8-A1HF-01	8	6	7	5	7	5	1
TCGA-C8-A1HG-01	5	3	28	8	15	10	0
TCGA-C8-A1HI-01	8	9	13	0	0	2	40
TCGA-C8-A1HJ-01	2	14	11	76	0	21	0
TCGA-C8-A1HK-01	7	25	11	7	1	6	16
TCGA-C8-A1HL-01	0	0	10	9	11	7	0
TCGA-C8-A1HM-01	114	222	21	0	87	4	0
TCGA-C8-A1HN-01	3	1	21	8	14	6	17
TCGA-C8-A1HO-01	10	4	6	3	2	3	21
TCGA-C8-A26V-01	23	34	15	7	0	8	9
TCGA-C8-A26W-01	17	12	8	0	26	6	0
TCGA-C8-A26X-01	3	3	25	22	18	4	0
TCGA-C8-A26Y-01	361	372	0	0	116	28	39
TCGA-C8-A26Z-01	1	0	22	15	11	0	0
TCGA-C8-A273-01	0	2	6	0	0	0	16
TCGA-C8-A274-01	131	92	17	21	0	20	0
TCGA-C8-A275-01	35	55	11	0	40	1	0
TCGA-C8-A278-01	8	7	10	0	0	1	27
TCGA-C8-A27A-01	7	3	10	9	4	0	7
TCGA-C8-A27B-01	8	70	7	55	10	12	0
TCGA-C8-A3M7-01	103	36	26	0	54	2	0
TCGA-C8-A3M8-01	5	9	11	8	0	11	18
TCGA-C8-A8HP-01	110	107	20	0	36	0	0
TCGA-C8-A8HQ-01	174	143	34	0	0	0	21
TCGA-C8-A8HR-01	2	3	15	18	10	12	0
TCGA-C8-A9FZ-01	1	3	14	7	0	4	0
TCGA-D8-A13Y-01	11	9	11	9	29	13	0
TCGA-D8-A13Z-01	3	15	27	50	8	0	0
TCGA-D8-A140-01	25	2	25	0	34	18	30
TCGA-D8-A141-01	0	0	8	3	5	0	5
TCGA-D8-A142-01	1	15	44	35	19	5	47
TCGA-D8-A143-01	3	2	18	34	0	1	3
TCGA-D8-A145-01	0	4	18	12	0	9	4
TCGA-D8-A146-01	6	0	12	0	12	10	1
TCGA-D8-A147-01	15	46	4	78	37	14	6
TCGA-D8-A1J8-01	275	269	111	0	144	162	0
TCGA-D8-A1J9-01	116	109	8	0	44	1	0
TCGA-D8-A1JB-01	5	4	4	22	4	6	18
TCGA-D8-A1JC-01	34	33	12	0	24	0	19
TCGA-D8-A1JD-01	11	16	4	45	0	12	34
TCGA-D8-A1JE-01	1	2	9	2	0	6	20
TCGA-D8-A1JF-01	4	3	11	3	0	10	18
TCGA-D8-A1JG-01	2	8	36	0	111	5	7
TCGA-D8-A1JH-01	2	0	3	0	0	5	14
TCGA-D8-A1JI-01	1	0	2	0	15	7	17
TCGA-D8-A1JJ-01	35	18	17	6	0	9	13
TCGA-D8-A1JK-01	17	11	0	57	59	47	58
TCGA-D8-A1JL-01	3	11	0	36	10	21	46
TCGA-D8-A1JM-01	1	2	11	1	9	0	29
TCGA-D8-A1JN-01	93	47	20	0	48	0	0
TCGA-D8-A1JP-01	1	11	0	59	34	18	12
TCGA-D8-A1JS-01	2	0	7	0	13	4	3
