Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-FS-A1ZB-06	151	113	0	0	0	14	5	0	33	0
TCGA-FS-A1ZC-06	463	335	0	0	0	90	13	0	77	0
TCGA-FS-A1ZD-06	142	141	0	0	0	26	3	8	18	3
TCGA-FS-A1ZE-06	71	43	0	0	15	39	1	3	18	0
TCGA-FS-A1ZF-06	99	104	0	0	0	33	3	13	27	0
TCGA-FS-A1ZG-06	0	3	0	20	6	0	7	6	0	3
TCGA-FS-A1ZH-06	0	18	3	5	2	5	1	0	10	0
TCGA-FS-A1ZJ-06	7	5	1	18	35	15	1	1	0	0
TCGA-FS-A1ZK-06	854	1165	0	0	0	22	48	0	123	0
TCGA-FS-A1ZM-06	136	130	13	0	0	12	6	1	30	3
TCGA-FS-A1ZN-01	62	54	0	3	0	12	1	4	0	1
TCGA-FS-A1ZP-06	257	136	0	0	0	102	9	0	76	0
TCGA-FS-A1ZQ-06	360	185	0	0	0	87	8	0	29	14
TCGA-FS-A1ZR-06	92	67	1	0	0	1	0	1	25	0
TCGA-FS-A1ZS-06	167	139	0	4	5	43	6	1	19	0
TCGA-FS-A1ZT-06	139	67	0	5	5	6	3	2	15	0
TCGA-FS-A1ZU-06	6	0	2	19	8	2	2	0	12	1
TCGA-FS-A1ZW-06	338	319	0	0	0	140	12	0	99	0
TCGA-FS-A1ZY-06	0	17	8	6	0	7	0	0	2	2
TCGA-FS-A1ZZ-06	1119	543	0	0	0	215	24	0	246	0
TCGA-FS-A4F0-06	315	358	0	0	0	51	10	0	36	0
TCGA-FS-A4F4-06	7	6	7	7	3	13	6	0	5	2
TCGA-FS-A4F5-06	504	353	0	0	0	30	8	0	130	0
TCGA-FS-A4F8-06	109	80	0	2	0	18	0	0	20	6
TCGA-FS-A4F9-06	281	201	0	0	0	62	6	6	34	0
TCGA-FS-A4FB-06	91	99	0	0	0	23	6	1	30	0
TCGA-FS-A4FC-06	445	349	0	0	0	104	10	0	91	0
TCGA-FS-A4FD-06	288	176	0	0	0	90	11	0	43	0
TCGA-FW-A3I3-06	7	0	4	24	18	6	4	3	1	6
TCGA-FW-A3R5-06	8657	10702	0	0	0	4165	372	0	3573	0
TCGA-FW-A3TU-06	402	486	0	0	0	111	13	0	68	0
TCGA-FW-A3TV-06	169	149	0	0	0	88	7	0	45	0
TCGA-FW-A5DX-01	116	102	7	2	0	22	1	3	10	4
