Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-BH-A0RX-01	3	1	23	0	4	11	5	0	2	0
TCGA-BH-A0W3-01	3	2	3	0	4	0	1	0	7	3
TCGA-BH-A0W4-01	4	2	3	4	1	12	5	0	8	0
TCGA-BH-A0W5-01	0	1	9	0	3	3	5	0	3	5
TCGA-BH-A0W7-01	105	106	1	24	0	16	6	0	3	0
TCGA-BH-A0WA-01	11	5	3	11	36	1	7	15	16	8
TCGA-BH-A18F-01	13	1	7	0	0	16	0	0	23	7
TCGA-BH-A18G-01	6	6	381	0	0	0	661	614	0	0
TCGA-BH-A18H-01	5	3	0	10	0	5	4	21	6	0
TCGA-BH-A18I-01	3	2	14	0	0	8	1	0	0	3
TCGA-BH-A18J-01	49	27	6	1	2	0	8	5	0	13
TCGA-BH-A18K-01	13	9	4	21	6	5	6	4	0	0
TCGA-BH-A18L-01	0	3	23	4	3	6	7	6	0	13
TCGA-BH-A18M-01	2	2	6	4	0	2	0	2	0	0
TCGA-BH-A18N-01	0	1	15	1	5	1	11	0	9	0
TCGA-BH-A18P-01	165	140	8	57	0	66	2	0	0	0
TCGA-BH-A18Q-01	1	6	0	11	30	1	2	19	26	11
TCGA-BH-A18R-01	4	0	0	10	14	1	3	0	10	0
TCGA-BH-A18S-01	0	3	2	0	3	6	9	6	0	8
TCGA-BH-A18T-01	5	9	6	11	45	1	6	19	0	0
TCGA-BH-A18U-01	47	27	20	8	9	9	8	21	22	7
TCGA-BH-A18V-01	25	55	0	44	66	5	15	0	2	38
TCGA-BH-A1EO-01	6	0	24	0	9	4	0	0	6	1
TCGA-BH-A1ET-01	1	0	8	0	3	0	5	5	3	8
TCGA-BH-A1EU-01	1	1	2	0	0	3	5	0	22	0
TCGA-BH-A1EV-01	26	28	16	17	9	25	8	0	0	0
TCGA-BH-A1EW-01	2	0	0	4	0	8	2	3	2	0
TCGA-BH-A1EX-01	0	0	7	0	7	12	7	0	2	0
TCGA-BH-A1EY-01	4	8	8	8	6	11	8	0	2	0
TCGA-BH-A1F0-01	0	12	7	34	7	12	6	0	7	10
TCGA-BH-A1F2-01	9	5	21	10	4	3	4	3	0	12
TCGA-BH-A1F5-01	4	0	9	0	2	8	0	0	14	7
TCGA-BH-A1F6-01	3	2	12	7	10	0	3	13	3	0
TCGA-BH-A1F8-01	72	41	11	23	0	15	0	4	9	17
TCGA-BH-A1FC-01	15	21	19	0	18	7	10	10	19	11
TCGA-BH-A1FE-01	4	1	2	0	0	5	0	7	0	7
TCGA-BH-A1FG-01	0	1	5	1	1	2	2	5	4	0
TCGA-BH-A1FH-01	2	0	6	5	0	2	0	0	18	0
TCGA-BH-A1FJ-01	2	0	9	3	0	1	0	5	25	0
TCGA-BH-A1FL-01	2	0	6	2	0	5	3	6	0	2
TCGA-BH-A1FM-01	10	8	15	0	8	15	2	0	4	0
TCGA-BH-A1FN-01	34	40	4	7	20	0	5	5	11	20
TCGA-BH-A1FR-01	0	1	4	0	7	2	2	1	0	0
TCGA-BH-A1FU-01	4	13	7	9	17	15	21	13	10	9
TCGA-BH-A201-01	2	0	2	0	1	5	9	0	0	8
TCGA-BH-A202-01	3	0	7	0	4	0	3	0	0	11
TCGA-BH-A203-01	12	12	28	0	3	18	6	4	16	0
TCGA-BH-A204-01	2	5	8	0	4	8	3	7	7	8
TCGA-BH-A208-01	15	19	9	10	6	7	1	0	15	0
TCGA-BH-A209-01	30	47	1	27	0	14	0	0	0	0
TCGA-BH-A28Q-01	2	2	10	0	1	0	0	11	0	0
