Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-55-7724-01	1.49E+00	1.94E+00	1.01E+00	2.31E+00	2.10E+00	7.22E-01	8.30E-01	1.37E+00
TCGA-55-7725-01	2.01E+00	1.92E+00	3.31E-01	1.12E+00	1.13E+00	3.77E-01	5.81E-01	5.71E-01
TCGA-55-7726-01	5.35E-01	6.12E-01	1.31E+00	9.63E-01	5.86E-01	6.24E-02	6.53E-01	1.22E+00
TCGA-55-7727-01	2.05E+00	2.06E+00	2.34E+00	1.28E+00	1.29E+00	1.04E+00	6.88E-01	2.46E+00
TCGA-55-7728-01	1.50E+00	1.52E+00	3.10E-01	8.26E-01	3.64E-01	5.38E-01	5.66E-01	8.32E-02
TCGA-55-7815-01	1.66E+00	1.89E+00	4.77E-01	1.66E+00	1.20E+00	6.92E-01	6.82E-01	7.88E-01
TCGA-55-7816-01	0.00E+00	3.43E-02	0.00E+00	3.94E-02	2.00E-02	0.00E+00	5.45E-02	0.00E+00
TCGA-55-7903-01	1.51E+00	1.53E+00	8.28E-01	1.02E+00	9.46E-01	7.67E-01	8.96E-01	9.93E-01
TCGA-55-7907-01	1.32E+01	1.38E+01	3.57E+00	5.69E+00	3.12E+00	1.62E+00	1.27E+00	4.32E+00
TCGA-55-7910-01	3.60E+00	3.70E+00	5.33E-01	2.30E+00	1.37E+00	7.55E-01	1.02E+00	7.51E-01
TCGA-55-7911-01	2.67E+00	2.47E+00	6.63E-01	2.00E+00	1.48E+00	7.07E-01	5.75E-01	8.20E-01
TCGA-55-7913-01	3.76E+00	4.10E+00	1.26E+00	2.01E+00	1.76E+00	9.49E-01	9.01E-01	9.86E-01
TCGA-55-7914-01	1.58E+00	1.71E+00	7.60E-01	1.46E+00	1.10E+00	6.61E-01	7.60E-01	6.49E-01
TCGA-55-7994-01	1.86E+01	1.90E+01	1.73E+00	7.19E+00	4.94E+00	2.04E+00	1.53E+00	2.52E+00
TCGA-55-7995-01	6.18E+00	6.06E+00	1.93E+00	3.80E+00	3.04E+00	1.32E+00	6.89E-01	2.08E+00
TCGA-55-8085-01	2.17E+00	2.20E+00	2.53E+00	1.69E+00	9.87E-01	8.32E-01	9.58E-01	2.92E+00
