Samples	SBS96A	SBS96B
TCGA-MP-A4SW-01	41	44
TCGA-MP-A4SY-01	146	71
TCGA-MP-A4T2-01	46	65
TCGA-MP-A4T4-01	422	63
TCGA-MP-A4T6-01	31	62
TCGA-MP-A4T7-01	145	14
TCGA-MP-A4T8-01	120	29
TCGA-MP-A4T9-01	24	22
TCGA-MP-A4TA-01	378	76
TCGA-MP-A4TC-01	280	47
TCGA-MP-A4TD-01	84	17
TCGA-MP-A4TE-01	143	30
TCGA-MP-A4TF-01	486	60
TCGA-MP-A4TH-01	113	26
TCGA-MP-A4TI-01	84	229
TCGA-MP-A4TJ-01	99	16
TCGA-MP-A4TK-01	343	99
TCGA-MP-A5C7-01	74	22
TCGA-NJ-A4YF-01	731	50
TCGA-NJ-A4YG-01	113	85
TCGA-NJ-A4YI-01	499	60
TCGA-NJ-A4YP-01	131	560
TCGA-NJ-A4YQ-01	1331	60
TCGA-NJ-A55A-01	131	16
TCGA-NJ-A55O-01	148	17
TCGA-NJ-A55R-01	286	37
TCGA-NJ-A7XG-01	33	9
TCGA-O1-A52J-01	183	28
TCGA-S2-AA1A-01	132	12
TCGA-18-3406-01	128	149
TCGA-18-3407-01	59	33
TCGA-18-3408-01	77	21
TCGA-18-3409-01	566	3701
TCGA-18-3410-01	109	138
TCGA-18-3411-01	290	108
TCGA-18-3412-01	88	59
TCGA-18-3414-01	218	164
TCGA-18-3415-01	106	129
TCGA-18-3416-01	290	98
TCGA-18-3417-01	271	81
TCGA-18-3421-01	240	145
TCGA-18-4083-01	374	99
TCGA-18-4721-01	169	56
TCGA-18-5592-01	289	75
TCGA-18-5595-01	40	279
TCGA-21-1070-01	626	61
TCGA-21-1071-01	142	75
TCGA-21-1076-01	317	90
TCGA-21-1077-01	178	117
TCGA-21-1078-01	8	89
