Samples	SBS96A	SBS96B
TCGA-VQ-A94P-01	5.74E-01	5.74E-01
TCGA-VQ-A94R-01	1.54E+00	1.54E+00
TCGA-VQ-A94T-01	7.99E-01	7.99E-01
TCGA-VQ-A94U-01	1.15E+00	1.15E+00
TCGA-VQ-AA64-01	1.08E+00	1.08E+00
TCGA-VQ-AA68-01	9.97E-01	9.96E-01
TCGA-VQ-AA69-01	6.34E-01	6.34E-01
TCGA-VQ-AA6A-01	7.93E-01	7.96E-01
TCGA-VQ-AA6B-01	7.50E-01	7.50E-01
TCGA-VQ-AA6D-01	1.95E+00	1.95E+00
TCGA-VQ-AA6F-01	6.74E-01	6.75E-01
TCGA-VQ-AA6G-01	9.43E-01	9.44E-01
TCGA-VQ-AA6I-01	7.97E-01	7.98E-01
TCGA-VQ-AA6J-01	9.43E-01	9.43E-01
TCGA-VQ-AA6K-01	7.77E-01	7.77E-01
TCGA-ZA-A8F6-01	5.68E-01	5.69E-01
TCGA-ZQ-A9CR-01	8.14E-01	8.14E-01
