Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-C8-A131-01	0	7	9	25	11	9	13	0
TCGA-C8-A132-01	24	10	6	2	6	0	0	36
TCGA-C8-A133-01	0	5	0	5	0	4	13	6
TCGA-C8-A134-01	7	1	7	0	44	10	36	12
TCGA-C8-A135-01	6	5	35	0	0	10	16	5
TCGA-C8-A137-01	15	9	6	32	0	0	0	0
TCGA-C8-A138-01	0	0	13	7	0	3	28	1
TCGA-C8-A1HE-01	9	20	6	0	1	1	0	17
TCGA-C8-A1HF-01	6	8	5	6	4	4	0	6
TCGA-C8-A1HG-01	3	4	25	13	9	9	6	0
TCGA-C8-A1HI-01	9	9	17	0	1	1	0	35
TCGA-C8-A1HJ-01	12	2	11	0	60	20	19	0
TCGA-C8-A1HK-01	23	6	9	10	8	6	0	11
TCGA-C8-A1HL-01	0	0	9	3	1	5	16	3
TCGA-C8-A1HM-01	222	110	11	72	9	5	19	0
TCGA-C8-A1HN-01	1	4	21	3	6	4	15	16
TCGA-C8-A1HO-01	4	10	7	0	0	2	14	12
TCGA-C8-A26V-01	35	21	13	7	6	8	5	1
TCGA-C8-A26W-01	13	14	3	27	5	7	0	0
TCGA-C8-A26X-01	2	3	22	10	14	4	20	0
TCGA-C8-A26Y-01	346	340	2	38	0	20	170	0
TCGA-C8-A26Z-01	0	1	18	8	12	0	10	0
TCGA-C8-A273-01	1	0	7	5	4	1	2	4
TCGA-C8-A274-01	89	127	20	0	13	16	16	0
TCGA-C8-A275-01	58	33	4	41	1	3	0	2
TCGA-C8-A278-01	7	7	11	6	8	1	0	13
TCGA-C8-A27A-01	3	6	7	7	1	0	16	0
TCGA-C8-A27B-01	67	7	3	20	53	12	0	0
